date,hour,mrt_shortname,person_time
2024-04-02,18,麟光,587
2024-04-02,19,信義安和,1143
2024-04-02,19,公館,1761
2024-04-02,19,六張犁,971
2024-04-02,19,古亭,2177
2024-04-02,19,台電大樓,1243
2024-04-02,19,國父紀念館,1189
2024-04-02,19,大安,1243
2024-04-02,19,大安森林公園,517
2024-04-02,19,忠孝復興,2602
2024-04-02,19,忠孝敦化,1894
2024-04-02,19,忠孝新生,1862
2024-04-02,19,東門,1523
2024-04-02,19,科技大樓,1003
2024-04-02,19,萬隆,1167
2024-04-02,19,麟光,442
2024-04-02,20,信義安和,663
2024-04-02,20,公館,962
2024-04-02,20,六張犁,587
2024-04-02,20,古亭,1369
2024-04-02,20,台電大樓,717
2024-04-02,20,國父紀念館,611
2024-04-02,20,大安,714
2024-04-02,20,大安森林公園,309
2024-04-02,20,忠孝復興,1381
2024-04-02,20,忠孝敦化,947
2024-04-02,20,忠孝新生,1041
2024-04-02,20,東門,855
2024-04-02,20,科技大樓,586
2024-04-02,20,萬隆,708
2024-04-02,20,麟光,308
2024-04-02,21,信義安和,578
2024-04-02,21,公館,1125
2024-04-02,21,六張犁,612
2024-04-02,21,古亭,1289
2024-04-02,21,台電大樓,757
2024-04-02,21,國父紀念館,497
2024-04-02,21,大安,686
2024-04-02,21,大安森林公園,319
2024-04-02,21,忠孝復興,911
2024-04-02,21,忠孝敦化,713
2024-04-02,21,忠孝新生,905
2024-04-02,21,東門,808
2024-04-02,21,科技大樓,523
2024-04-02,21,萬隆,731
2024-04-02,21,麟光,318
2024-04-02,22,信義安和,515
2024-04-02,22,公館,749
2024-04-02,22,六張犁,404
2024-04-02,22,古亭,886
2024-04-02,22,台電大樓,510
2024-04-02,22,國父紀念館,329
2024-04-02,22,大安,476
2024-04-02,22,大安森林公園,191
2024-04-02,22,忠孝復興,664
2024-04-02,22,忠孝敦化,487
2024-04-02,22,忠孝新生,638
2024-04-02,22,東門,511
2024-04-02,22,科技大樓,398
2024-04-02,22,萬隆,516
2024-04-02,22,麟光,246
2024-04-02,23,信義安和,197
2024-04-02,23,公館,291
2024-04-02,23,六張犁,145
2024-04-02,23,古亭,317
2024-04-02,23,台電大樓,167
2024-04-02,23,國父紀念館,123
2024-04-02,23,大安,141
2024-04-02,23,大安森林公園,60
2024-04-02,23,忠孝復興,216
2024-04-02,23,忠孝敦化,161
2024-04-02,23,忠孝新生,190
2024-04-02,23,東門,198
2024-04-02,23,科技大樓,126
2024-04-02,23,萬隆,198
2024-04-02,23,麟光,96
2024-04-03,0,信義安和,116
2024-04-03,0,公館,163
2024-04-03,0,六張犁,76
2024-04-03,0,古亭,161
2024-04-03,0,台電大樓,79
2024-04-03,0,國父紀念館,47
2024-04-03,0,大安,90
2024-04-03,0,大安森林公園,42
2024-04-03,0,忠孝復興,110
2024-04-03,0,忠孝敦化,124
2024-04-03,0,忠孝新生,89
2024-04-03,0,東門,90
2024-04-03,0,科技大樓,45
2024-04-03,0,萬隆,114
2024-04-03,0,麟光,45
2024-04-03,1,信義安和,1
2024-04-03,1,公館,0
2024-04-03,1,六張犁,0
2024-04-03,1,古亭,0
2024-04-03,1,台電大樓,0
2024-04-03,1,國父紀念館,0
2024-04-03,1,大安,0
2024-04-03,1,大安森林公園,0
2024-04-03,1,忠孝復興,0
2024-04-03,1,忠孝敦化,0
2024-04-03,1,忠孝新生,0
2024-04-03,1,東門,0
2024-04-03,1,科技大樓,0
2024-04-03,1,萬隆,2
2024-04-03,1,麟光,0
2024-04-03,5,信義安和,0
2024-04-03,5,公館,0
2024-04-03,5,六張犁,0
2024-04-03,5,古亭,0
2024-04-03,5,台電大樓,0
2024-04-03,5,國父紀念館,0
2024-04-03,5,大安,1
2024-04-03,5,大安森林公園,0
2024-04-03,5,忠孝復興,1
2024-04-03,5,忠孝敦化,0
2024-04-03,5,忠孝新生,0
2024-04-03,5,東門,0
2024-04-03,5,科技大樓,0
2024-04-03,5,萬隆,0
2024-04-03,5,麟光,0
2024-04-03,6,信義安和,339
2024-04-03,6,公館,349
2024-04-03,6,六張犁,136
2024-04-03,6,古亭,352
2024-04-03,6,台電大樓,221
2024-04-03,6,國父紀念館,323
2024-04-03,6,大安,410
2024-04-03,6,大安森林公園,223
2024-04-03,6,忠孝復興,463
2024-04-03,6,忠孝敦化,431
2024-04-03,6,忠孝新生,446
2024-04-03,6,東門,464
2024-04-03,6,科技大樓,156
2024-04-03,6,萬隆,80
2024-04-03,6,麟光,31
2024-04-03,7,信義安和,1510
2024-04-03,7,公館,1825
2024-04-03,7,六張犁,702
2024-04-03,7,古亭,1796
2024-04-03,7,台電大樓,1258
2024-04-03,7,國父紀念館,1369
2024-04-03,7,大安,3479
2024-04-03,7,大安森林公園,802
2024-04-03,7,忠孝復興,1777
2024-04-03,7,忠孝敦化,2117
2024-04-03,7,忠孝新生,2062
2024-04-03,7,東門,2404
2024-04-03,7,科技大樓,906
2024-04-03,7,萬隆,348
2024-04-03,7,麟光,123
2024-04-03,8,信義安和,743
2024-04-03,8,公館,234
2024-04-03,8,六張犁,77
2024-04-03,8,古亭,1040
2024-04-03,8,台電大樓,1249
2024-04-03,8,國父紀念館,1861
2024-04-03,8,大安,1646
2024-04-03,8,大安森林公園,49
2024-04-03,8,忠孝復興,3786
2024-04-03,8,忠孝敦化,742
2024-04-03,8,忠孝新生,3262
2024-04-03,8,東門,580
2024-04-03,8,科技大樓,288
2024-04-03,8,萬隆,88
2024-04-03,8,麟光,278
2024-04-03,9,信義安和,1886
2024-04-03,9,公館,1858
2024-04-03,9,六張犁,0
2024-04-03,9,古亭,2404
2024-04-03,9,台電大樓,822
2024-04-03,9,國父紀念館,1883
2024-04-03,9,大安,2833
2024-04-03,9,大安森林公園,526
2024-04-03,9,忠孝復興,4708
2024-04-03,9,忠孝敦化,3129
2024-04-03,9,忠孝新生,3069
2024-04-03,9,東門,1589
2024-04-03,9,科技大樓,0
2024-04-03,9,萬隆,259
2024-04-03,9,麟光,3
2024-04-03,10,信義安和,1103
2024-04-03,10,公館,1569
2024-04-03,10,六張犁,205
2024-04-03,10,古亭,1600
2024-04-03,10,台電大樓,631
2024-04-03,10,國父紀念館,1461
2024-04-03,10,大安,1468
2024-04-03,10,大安森林公園,414
2024-04-03,10,忠孝復興,2958
2024-04-03,10,忠孝敦化,1886
2024-04-03,10,忠孝新生,1999
2024-04-03,10,東門,1237
2024-04-03,10,科技大樓,231
2024-04-03,10,萬隆,268
2024-04-03,10,麟光,68
2024-04-03,11,信義安和,856
2024-04-03,11,公館,1351
2024-04-03,11,六張犁,352
2024-04-03,11,古亭,1324
2024-04-03,11,台電大樓,584
2024-04-03,11,國父紀念館,950
2024-04-03,11,大安,915
2024-04-03,11,大安森林公園,346
2024-04-03,11,忠孝復興,2250
2024-04-03,11,忠孝敦化,1475
2024-04-03,11,忠孝新生,1833
2024-04-03,11,東門,1244
2024-04-03,11,科技大樓,513
2024-04-03,11,萬隆,295
2024-04-03,11,麟光,150
2024-04-03,12,信義安和,664
2024-04-03,12,公館,1573
2024-04-03,12,六張犁,316
2024-04-03,12,古亭,1486
2024-04-03,12,台電大樓,652
2024-04-03,12,國父紀念館,1079
2024-04-03,12,大安,858
2024-04-03,12,大安森林公園,415
2024-04-03,12,忠孝復興,2705
2024-04-03,12,忠孝敦化,1782
2024-04-03,12,忠孝新生,2196
2024-04-03,12,東門,1358
2024-04-03,12,科技大樓,544
2024-04-03,12,萬隆,363
2024-04-03,12,麟光,144
2024-04-03,13,信義安和,792
2024-04-03,13,公館,1344
2024-04-03,13,六張犁,362
2024-04-03,13,古亭,1612
2024-04-03,13,台電大樓,666
2024-04-03,13,國父紀念館,1103
2024-04-03,13,大安,972
2024-04-03,13,大安森林公園,372
2024-04-03,13,忠孝復興,2502
2024-04-03,13,忠孝敦化,1769
2024-04-03,13,忠孝新生,2328
2024-04-03,13,東門,1273
2024-04-03,13,科技大樓,611
2024-04-03,13,萬隆,366
2024-04-03,13,麟光,165
2024-04-03,14,信義安和,734
2024-04-03,14,公館,1224
2024-04-03,14,六張犁,326
2024-04-03,14,古亭,1285
2024-04-03,14,台電大樓,580
2024-04-03,14,國父紀念館,1042
2024-04-03,14,大安,907
2024-04-03,14,大安森林公園,385
2024-04-03,14,忠孝復興,2138
2024-04-03,14,忠孝敦化,1492
2024-04-03,14,忠孝新生,2032
2024-04-03,14,東門,1176
2024-04-03,14,科技大樓,510
2024-04-03,14,萬隆,334
2024-04-03,14,麟光,145
2024-04-03,15,信義安和,687
2024-04-03,15,公館,1191
2024-04-03,15,六張犁,346
2024-04-03,15,古亭,1270
2024-04-03,15,台電大樓,629
2024-04-03,15,國父紀念館,1474
2024-04-03,15,大安,875
2024-04-03,15,大安森林公園,433
2024-04-03,15,忠孝復興,2203
2024-04-03,15,忠孝敦化,1457
2024-04-03,15,忠孝新生,1785
2024-04-03,15,東門,1026
2024-04-03,15,科技大樓,538
2024-04-03,15,萬隆,421
2024-04-03,15,麟光,140
2024-04-03,16,信義安和,795
2024-04-03,16,公館,1304
2024-04-03,16,六張犁,558
2024-04-03,16,古亭,1653
2024-04-03,16,台電大樓,827
2024-04-03,16,國父紀念館,2495
2024-04-03,16,大安,1061
